Name,Style,Family style,Brewery,Alc,IBU,Rating
1979 European Cup Final Replay,Sour - Fruited,Sour ,Neon Raptor Brewing Co.,7,40,3.8
2 Live Gran Cru Greatest Hits Volume 7,Stout - Imperial / Double,Stout ,Voodoo Brewing Co.,12.9,,4.31
2022 Barrel-Aged Imperial Smells Like Bean Spirit,Stout - Imperial / Double,Stout ,Mikerphone Brewing,14.24,,4.34
2023 Barrel Aged Elder Beast,Stout - Imperial / Double,Stout ,Branch & Bone Artisan Ales,14,,4.22
2085-1 Bohemian Pilsner,Pilsner - Czech / Bohemian,Pilsner ,2085 Brewery,5.5,45,3.56
2085-16.3 SULTANA NEIPA,IPA - New England / Hazy,IPA ,2085 Brewery,5.6,20,3.86
2085-19 WEST COAST IPA,IPA - American,IPA ,2085 Brewery,6,75,3.84
2085-23 TROPICALE,IPA - New England / Hazy,IPA ,2085 Brewery,6,20,3.97
2085-24 COCONUT COCOA VANILLA STOUT,Stout - Oatmeal,Stout ,2085 Brewery,5.5,15,3.63
2085-3 Hoppy Mexican Lager,Lager - Mexican,Lager ,2085 Brewery,5.3,11,3.61
2085-6 Irish-Style Dry Stout,Stout - Irish Dry,Stout ,2085 Brewery,5,30,3.69
3 Deadly Sins,Stout - Imperial / Double Pastry,Stout ,3 Sons Brewing Co.,14,,4.57
3 Virgenes Hopped Amber Ale,Red Ale - American Amber / Red,Red Ale,Cervecería Transpeninsular,5.9,65,3.54
45 Days Rice Lager,Lager - Japanese Rice,Lager ,To Øl,5,,3.11
4th Anniversary,Stout - Imperial / Double,Stout ,Funky Fluid,18,,4.17
5 Year Anniversary Smoothie Sour Ale,Sour - Smoothie / Pastry,Sour ,?rpus Brewing Co.,5,,4.35
519,IPA - American,IPA ,Willibald Farm Brewery,6,,3.87
Abbey Road,Belgian Quadrupel,Belgian ,Dois Corvos,11.5,,4.07
Abrikoos / Mirabel 21/10,Lambic - Fruit,Lambic ,Symbiose Brewing / Blending,6.5,,4.24
Absurt,Sour - Fruited,Sour ,Flying Couch Brewing,6,,3.66
Act of Bravery,IPA - Imperial / Double New England / Hazy,IPA ,Folkingebrew,8.5,,4.07
Affogato,Stout - Imperial / Double Pastry,Stout ,Basqueland Brewing,10.4,,3.99
After After Party,IPA - Triple,IPA ,Willibald Farm Brewery,10.2,,4.18
Alba & Petraea Saison,Wild Ale - American,Wild Ale,Odd Breed Wild Ales,5.5,30,3.82
ALE BE BACK,IPA - New England / Hazy,IPA ,Flying Couch Brewing,6.2,4,3.69
All,Stout - Imperial / Double,Stout ,Lua Brewing,6.9,20,3.72
All Jus’d Up,Farmhouse Ale - Saison,Farmhouse ,Carbon Brews,14.1,,4.66
All the way down,Farmhouse Ale - Saison,Farmhouse ,Wings Brewing Company,6,,4.08
Ani,Table Beer,Table ,Batch Craft Beer & Kolaches,4,,3.44
Anniversary Brewpub Special,IPA - New England / Hazy,IPA ,Sudden Death Brewing Co.,7,,4.07
Anthology (Blend #3),Wild Ale - American,Wild Ale,Narrow Gauge Brewing Company,7.1,,4.01
Ants (Vintage 2022),Stout - Imperial / Double,Stout ,Forager Brewery,14,,4.14
Arcane Rituals (2022),Barleywine - English,Barleywine ,Bottle Logic Brewing,12,25,4.32
Aretê - Tomo 3,Stout - Imperial / Double,Stout ,Spartacus Brewing,15,,4.39
Ashes & Diamonds: Tawny Port / Raisins / Figs / Dates,Barleywine - American,Barleywine ,Funky Fluid,12,,4.05
Asphodelus,IPA - Imperial / Double New England / Hazy,IPA ,18th Street Brewery,7.8,,3.89
Assassin Vanilla Bean (2022),Stout - Imperial / Double,Stout ,Toppling Goliath Brewing Co.,12.12,,4.73
ASSEMBLAGE 1 (2022),Wild Ale - Other,Wild Ale,Popihn Sauvages,6.5,,4.07
aU Ungespundet Naturtrüb,Kellerbier / Zwickelbier,Kellerbier ,Mahrs Bräu,5.2,25,3.57
aU Ungespundet Naturtrüb,Kellerbier / Zwickelbier,Kellerbier ,Mahrs Bräu,5.2,25,3.57
aU Ungespundet Naturtrüb,Kellerbier / Zwickelbier,Kellerbier ,Mahrs Bräu,5.2,25,3.57
aU Ungespundet Naturtrüb,Kellerbier / Zwickelbier,Kellerbier ,Mahrs Bräu,5.2,25,3.57
Aurora Borealis,Hard Seltzer,Wild Ale,Bottle Logic Brewing,8,30,3.83
Aurora Borealis DDH DIPA,IPA - Imperial / Double,IPA ,Friends Company,8,30,3.83
