,Name,Style,Family_style,Brewery,Alc,IBU,Rating,NFamily_style,clusters
0,1979 European Cup Final Replay,Sour - Fruited,Sour,Neon Raptor Brewing Co.,7.0,40.0,3.8,34,3
1,2 Live Gran Cru Greatest Hits Volume 7,Stout - Imperial / Double,Stout,Voodoo Brewing Co.,12.9,35.547770700636946,4.31,35,1
2,2022 Barrel-Aged Imperial Smells Like Bean Spirit,Stout - Imperial / Double,Stout,Mikerphone Brewing,14.24,35.547770700636946,4.34,35,1
3,2023 Barrel Aged Elder Beast,Stout - Imperial / Double,Stout,Branch & Bone Artisan Ales,14.0,35.547770700636946,4.22,35,1
4,2085-1 Bohemian Pilsner,Pilsner - Czech / Bohemian,Pilsner,2085 Brewery,5.5,45.0,3.56,26,0
5,2085-16.3 SULTANA NEIPA,IPA - New England / Hazy,IPA,2085 Brewery,5.6,20.0,3.86,16,4
6,2085-19 WEST COAST IPA,IPA - American,IPA,2085 Brewery,6.0,75.0,3.84,16,4
7,2085-23 TROPICALE,IPA - New England / Hazy,IPA,2085 Brewery,6.0,20.0,3.97,16,4
8,2085-24 COCONUT COCOA VANILLA STOUT,Stout - Oatmeal,Stout,2085 Brewery,5.5,15.0,3.63,35,2
9,2085-3 Hoppy Mexican Lager,Lager - Mexican,Lager,2085 Brewery,5.3,11.0,3.61,19,0
10,2085-6 Irish-Style Dry Stout,Stout - Irish Dry,Stout,2085 Brewery,5.0,30.0,3.69,35,2
11,3 Deadly Sins,Stout - Imperial / Double Pastry,Stout,3 Sons Brewing Co.,14.0,35.547770700636946,4.57,35,1
12,3 Virgenes Hopped Amber Ale,Red Ale - American Amber / Red,Red Ale,Cervecería Transpeninsular,5.9,65.0,3.54,29,0
13,45 Days Rice Lager,Lager - Japanese Rice,Lager,To Øl,5.0,35.547770700636946,3.11,19,0
14,4th Anniversary,Stout - Imperial / Double,Stout,Funky Fluid,18.0,35.547770700636946,4.17,35,1
15,5 Year Anniversary Smoothie Sour Ale,Sour - Smoothie / Pastry,Sour,?rpus Brewing Co.,5.0,35.547770700636946,4.35,34,3
16,519,IPA - American,IPA,Willibald Farm Brewery,6.0,35.547770700636946,3.87,16,4
17,Abbey Road,Belgian Quadrupel,Belgian,Dois Corvos,11.5,35.547770700636946,4.07,1,1
18,Abrikoos / Mirabel 21/10,Lambic - Fruit,Lambic,Symbiose Brewing / Blending,6.5,35.547770700636946,4.24,20,2
19,Absurt,Sour - Fruited,Sour,Flying Couch Brewing,6.0,35.547770700636946,3.66,34,3
20,Act of Bravery,IPA - Imperial / Double New England / Hazy,IPA,Folkingebrew,8.5,35.547770700636946,4.07,16,4
21,Affogato,Stout - Imperial / Double Pastry,Stout,Basqueland Brewing,10.4,35.547770700636946,3.99,35,1
22,After After Party,IPA - Triple,IPA,Willibald Farm Brewery,10.2,35.547770700636946,4.18,16,4
23,Alba & Petraea Saison,Wild Ale - American,Wild Ale,Odd Breed Wild Ales,5.5,30.0,3.82,39,2
24,ALE BE BACK,IPA - New England / Hazy,IPA,Flying Couch Brewing,6.2,4.0,3.69,16,4
25,All,Stout - Imperial / Double,Stout,Lua Brewing,6.9,20.0,3.72,35,2
26,All Jus’d Up,Farmhouse Ale - Saison,Farmhouse,Carbon Brews,14.1,35.547770700636946,4.66,8,1
27,All the way down,Farmhouse Ale - Saison,Farmhouse,Wings Brewing Company,6.0,35.547770700636946,4.08,8,2
28,Ani,Table Beer,Table,Batch Craft Beer & Kolaches,4.0,35.547770700636946,3.44,37,0
29,Anniversary Brewpub Special,IPA - New England / Hazy,IPA,Sudden Death Brewing Co.,7.0,35.547770700636946,4.07,16,4
30,Anthology (Blend #3),Wild Ale - American,Wild Ale,Narrow Gauge Brewing Company,7.1,35.547770700636946,4.01,39,2
31,Ants (Vintage 2022),Stout - Imperial / Double,Stout,Forager Brewery,14.0,35.547770700636946,4.14,35,1
32,Arcane Rituals (2022),Barleywine - English,Barleywine,Bottle Logic Brewing,12.0,25.0,4.32,0,1
33,Aretê - Tomo 3,Stout - Imperial / Double,Stout,Spartacus Brewing,15.0,35.547770700636946,4.39,35,1
34,Ashes & Diamonds: Tawny Port / Raisins / Figs / Dates,Barleywine - American,Barleywine,Funky Fluid,12.0,35.547770700636946,4.05,0,1
35,Asphodelus,IPA - Imperial / Double New England / Hazy,IPA,18th Street Brewery,7.8,35.547770700636946,3.89,16,4
36,Assassin Vanilla Bean (2022),Stout - Imperial / Double,Stout,Toppling Goliath Brewing Co.,12.12,35.547770700636946,4.73,35,1
37,ASSEMBLAGE 1 (2022),Wild Ale - Other,Wild Ale,Popihn Sauvages,6.5,35.547770700636946,4.07,39,2
38,aU Ungespundet Naturtrüb,Kellerbier / Zwickelbier,Kellerbier,Mahrs Bräu,5.2,25.0,3.57,17,0
39,aU Ungespundet Naturtrüb,Kellerbier / Zwickelbier,Kellerbier,Mahrs Bräu,5.2,25.0,3.57,17,0
40,aU Ungespundet Naturtrüb,Kellerbier / Zwickelbier,Kellerbier,Mahrs Bräu,5.2,25.0,3.57,17,0
41,aU Ungespundet Naturtrüb,Kellerbier / Zwickelbier,Kellerbier,Mahrs Bräu,5.2,25.0,3.57,17,0
42,Aurora Borealis,Hard Seltzer,Wild Ale,Bottle Logic Brewing,8.0,30.0,3.83,39,2
43,Aurora Borealis DDH DIPA,IPA - Imperial / Double,IPA,Friends Company,8.0,30.0,3.83,16,4
44,Aurora Borealis DDH DIPA,IPA - Imperial / Double,IPA,Friends Company,8.0,35.547770700636946,3.9,16,4
45,Averell Cherry Pit (Stauning Barrel Aged),Porter - Imperial / Double Baltic,Porter,Pleasanti Street,11.0,35.547770700636946,3.77,27,2
46,BA Centaur Army (2022),Stout - Imperial / Double Pastry,Stout,Neon Raptor Brewing Co.,13.4,35.547770700636946,4.43,35,1
47,BA Coconut Drip 2022,Stout - Imperial / Double,Stout,Finback Brewery,13.2,35.547770700636946,4.25,35,1
48,BA Coconut Macaroon,Stout - Imperial / Double,Stout,CLAG Brewing Company,14.0,35.547770700636946,4.53,35,1
49,Bachus,Grape Ale - Other,Grape,Dois Corvos,7.0,35.547770700636946,3.7,12,2
50,Baltic Maple Porter,Porter - Baltic,Porter,Enegren Brewing Company,9.1,35.0,3.81,27,2
51,Bamboo Leaf Infused Lambic,Lambic - Other,Lambic,Oud Beersel,6.8,35.547770700636946,3.8,20,2
52,Banana Kiwi Pound Cake,Sour - Fruited Gose,Sour,DankHouse Brewing Company,8.5,35.547770700636946,4.12,34,3
53,Banoffee Bänger,Stout - Imperial / Double,Stout,Põhjala,12.5,30.0,4.03,35,1
54,Barbarian Lands 2022,Golden Ale - Other,Golden Ale,Crossover Blendery,4.7,35.547770700636946,3.85,11,2
55,Barbe Rouge Pils,Pilsner - Other,Pilsner,Narrow Gauge Brewing Company,4.8,35.547770700636946,3.76,26,0
56,Barn Raising,Wild Ale - American,Wild Ale,Funk Factory Geuzeria,7.5,35.547770700636946,3.91,39,2
57,Barrel Aged Cutting Corners,Barleywine - English,Barleywine,CLAG Brewing Company,13.3,35.547770700636946,4.02,0,1
58,Barrel Aged Dark Lager,Lager - Dark,Lager,Salikatt,4.7,35.547770700636946,3.9,19,0
59,Barrel Aged ICON Double Chocolate Peanut Butter,Stout - Imperial / Double Pastry,Stout,Spartacus Brewing,15.0,35.547770700636946,4.43,35,1
60,Barrel Aged Midnight Toffee Stout,Stout - Imperial / Double Pastry,Stout,Untitled Art,14.9,35.547770700636946,4.36,35,1
61,Barrel Aged Pastry Chef: Blueberry Maple Muffin,Stout - Imperial / Double,Stout,Funky Fluid,12.0,35.547770700636946,3.86,35,1
62,Barrel Aged Stout (????????????),Stout - Other,Stout,A.J.I. Beer Inc.,6.5,32.0,3.51,35,0
63,Barrel Aged Whiffle Bricks,Stout - Imperial / Double,Stout,DankHouse Brewing Company,13.0,35.547770700636946,3.92,35,1
64,Barrel Works Kentucky Grand Cru,Stout - Imperial / Double,Stout,Basqueland Brewing,12.5,35.547770700636946,4.15,35,1
65,Barrel Works PX,Stout - Imperial / Double,Stout,Basqueland Brewing,12.6,35.547770700636946,4.0,35,1
66,Barrel-Aged Shake It Fast,Stout - Pastry,Stout,Mikerphone Brewing,13.7,35.547770700636946,4.23,35,1
67,Barrel-Aged S'more Cowbell (2022),Stout - Imperial / Double Pastry,Stout,Mikerphone Brewing,14.64,35.547770700636946,4.31,35,1
68,Basalt,Stout - Imperial / Double,Stout,Neon Raptor Brewing Co.,13.5,35.547770700636946,3.93,35,1
69,Bash,Porter - Baltic,Porter,Halfway Crooks Beer,7.7,35.547770700636946,3.94,27,2
70,Batch Pilz,Pilsner - Czech / Bohemian,Pilsner,Batch Craft Beer & Kolaches,4.7,35.547770700636946,3.62,26,0
71,Be Kind: Quince,Wild Ale - Other,Wild Ale,Métaphore,4.1,35.547770700636946,3.87,39,2
72,Beer Geek Breakfast (Mikkeller x Minoh),Stout - Imperial / Double Coffee,Stout,Mikkeller,9.0,35.547770700636946,3.71,35,1
73,Belief,Farmhouse Ale - Saison,Farmhouse,Branch & Bone Artisan Ales,5.8,35.547770700636946,3.9,8,2
74,Berry Cobbler,Sour - Smoothie / Pastry,Sour,Basqueland Brewing,6.5,35.547770700636946,3.88,34,3
75,Beste Freunde,Stout - Other,Stout,Schneeeule,9.2,35.547770700636946,3.56,35,1
76,Beyond the Atmosphere,IPA - Triple New England / Hazy,IPA,Folkingebrew,10.0,35.547770700636946,4.12,16,4
77,Beyond the Peel,Sour - Fruited,Sour,Flying Couch Brewing,4.5,35.547770700636946,3.72,34,3
78,Bianca Blueberry Space Jam Lassi Gose,Sour - Fruited Gose,Sour,Omnipollo,6.0,35.547770700636946,4.47,34,3
79,Bianca Dark Berries Marshmallow Lassi Gose,Sour - Smoothie / Pastry,Sour,Omnipollo,6.0,35.547770700636946,4.38,34,3
80,Bierra Di Bocce,Pilsner - Italian,Pilsner,Batch Craft Beer & Kolaches,5.3,35.547770700636946,3.58,26,0
81,Big Black Violet,Sour - Other,Sour,Dugges Bryggeri,6.0,35.547770700636946,3.66,34,3
82,Big In Japan,Lager - Japanese Rice,Lager,WarPigs Brewpub,4.5,35.547770700636946,3.23,19,0
83,Bigger Dreams Hazy IPA,IPA - New England / Hazy,IPA,Creature Comforts Brewing Co.,6.8,35.547770700636946,3.9,16,4
84,Billowing Clouds of Hallertau,Pale Ale - American,Pale,Yokefellow,4.6,35.547770700636946,3.55,25,0
85,Billowing Clouds of Hallertau,Pale Ale - American,Pale,Yokefellow,4.6,35.547770700636946,3.55,25,0
86,Billowing Clouds of Hallertau,Pale Ale - American,Pale,Yokefellow,4.6,35.547770700636946,3.55,25,0
87,Billowing Clouds of Hallertau,Pale Ale - American,Pale,Yokefellow,4.6,35.547770700636946,3.55,25,0
88,Biparellus,IPA - Black / Cascadian Dark Ale,IPA,Neon Raptor Brewing Co.,6.6,35.547770700636946,3.72,16,4
89,Bitter,Farmhouse Ale - Bière de Coupage,Farmhouse,Tommie Sjef,7.0,35.547770700636946,4.19,8,2
90,Black Berry White,Mead - Other,Mead,Superstition Meadery,13.5,35.547770700636946,4.61,21,1
91,Black Cream,Stout - Imperial / Double,Stout,Amager Bryghus,12.0,35.547770700636946,3.76,35,1
92,Bleu,Stout - Russian Imperial,Stout,Brasserie de la Sambre,15.2,12.0,4.12,35,1
93,Blinded By the Lights,IPA - Imperial / Double,IPA,Neon Raptor Brewing Co.,8.0,35.547770700636946,4.05,16,4
94,Blinded By the Night,Schwarzbier,Schwarzbier,To Øl,5.0,35.547770700636946,3.35,31,0
95,Blue Berry White,Mead - Other,Mead,Superstition Meadery,13.5,35.547770700636946,4.57,21,1
96,Blue Roses,Sour - Other,Sour,Sour Cellars,6.2,35.547770700636946,4.02,34,3
97,Blue Shift,Lambic - Other,Lambic,Pellicle Vergistingen,7.894397435897437,35.547770700636946,3.93,20,2
98,Bomaye,Stout - Imperial / Double,Stout,Magnanimous Brewing,12.5,35.547770700636946,4.21,35,1
99,Bombay by Boat,IPA - American,IPA,Moonlight Brewing Company,6.2,35.547770700636946,3.62,16,4
100,Bone Voyage,IPA - Sour,IPA,Too Old To Die Young Brewing Co.,6.5,25.0,3.53,16,4
101,Boskeun,Belgian Strong Golden Ale,Belgian,Brouwerij De Dolle Brouwers,9.0,30.0,3.72,1,2
102,Botanical Stout,Stout - Other,Stout,Buddelship Brauerei,8.9,35.547770700636946,2.99,35,1
